DateTime,Latitude,Longitude,AltMSL,GndSpd
2023-12-21 03:12:03,40.64592,-73.76695,374,0
2023-12-21 03:12:19,40.65528,-73.75934,1001,163
2023-12-21 03:12:35,40.66296,-73.74408,1224,231
2023-12-21 03:12:51,40.66380,-73.72269,1450,289
2023-12-21 03:13:07,40.66301,-73.69855,1824,326
2023-12-21 03:13:30,40.66194,-73.66445,2825,320
2023-12-21 03:14:00,40.66072,-73.61768,3924,337
2023-12-21 03:14:30,40.65948,-73.56256,5400,397
2023-12-21 03:14:46,40.66182,-73.53662,6001,352
2023-12-21 03:15:04,40.67409,-73.51277,6824,322
2023-12-21 03:15:28,40.70068,-73.49432,7874,291
2023-12-21 03:15:58,40.73391,-73.47613,9249,273
2023-12-21 03:16:43,40.79023,-73.44610,10226,306
2023-12-21 03:17:13,40.83385,-73.42363,10676,353
2023-12-21 03:17:43,40.88100,-73.39923,11125,382
2023-12-21 03:18:13,40.92929,-73.37407,12326,392
2023-12-21 03:18:43,40.97621,-73.34943,13350,382
2023-12-21 03:19:13,41.02611,-73.32336,14426,405
2023-12-21 03:19:43,41.07513,-73.29797,15427,397
2023-12-21 03:20:13,41.12588,-73.27151,16650,412
2023-12-21 03:20:30,41.15327,-73.25134,16877,432
2023-12-21 03:20:48,41.17555,-73.22132,17375,449
2023-12-21 03:21:18,41.21526,-73.16248,18150,511
2023-12-21 03:21:48,41.25467,-73.10608,18924,495
2023-12-21 03:22:18,41.29556,-73.04747,19675,515
2023-12-21 03:22:48,41.33806,-72.98630,20476,536
2023-12-21 03:23:18,41.37698,-72.93012,21276,492
2023-12-21 03:23:48,41.41888,-72.86963,21949,530
2023-12-21 03:24:18,41.46167,-72.80783,22625,541
2023-12-21 03:24:48,41.50314,-72.74770,23225,526
2023-12-21 03:25:18,41.54645,-72.68486,23825,549
2023-12-21 03:25:48,41.58972,-72.62193,24449,550
2023-12-21 03:26:12,41.62422,-72.56993,24951,562
2023-12-21 03:26:33,41.65117,-72.52209,25299,565
2023-12-21 03:27:13,41.69691,-72.42219,26099,593
2023-12-21 03:27:29,41.71881,-72.37761,26499,671
2023-12-21 03:27:45,41.74162,-72.34580,26850,528
2023-12-21 03:28:09,41.78007,-72.30281,27201,519
2023-12-21 03:28:39,41.83370,-72.23875,27726,602
2023-12-21 03:29:09,41.88091,-72.18196,28150,532
2023-12-21 03:29:39,41.93134,-72.12212,28625,563
