DateTime,Latitude,Longitude,AltMSL,GndSpd
2024-01-17 21:05:39,51.46490,-0.44235,751,0
2024-01-17 21:05:55,51.46486,-0.42171,1276,279
2024-01-17 21:06:11,51.46161,-0.39966,2073,301
2024-01-17 21:06:27,51.45062,-0.38571,2726,240
2024-01-17 21:06:43,51.43694,-0.38460,3225,185
2024-01-17 21:06:59,51.42393,-0.39711,3799,244
2024-01-17 21:07:15,51.41671,-0.42053,4177,331
2024-01-17 21:07:31,51.41238,-0.44769,4449,371
2024-01-17 21:07:47,51.40806,-0.47737,4751,405
2024-01-17 21:08:03,51.40393,-0.50715,5276,406
2024-01-17 21:08:19,51.40019,-0.53879,5974,430
2024-01-17 21:08:35,51.40037,-0.56488,6677,352
2024-01-17 21:09:00,51.40402,-0.61969,7799,475
2024-01-17 21:09:40,51.41141,-0.70122,9826,442
2024-01-17 21:10:03,51.41937,-0.74196,10499,390
2024-01-17 21:10:27,51.43087,-0.79041,10876,448
2024-01-17 21:10:55,51.44669,-0.84921,11401,470
2024-01-17 21:11:19,51.46206,-0.90271,11900,501
2024-01-17 21:11:57,51.48917,-0.99315,13323,537
2024-01-17 21:12:15,51.50125,-1.03348,13950,505
2024-01-17 21:12:45,51.52272,-1.10539,15026,540
2024-01-17 21:13:05,51.53570,-1.15540,15699,558
2024-01-17 21:13:22,51.54359,-1.19565,16250,521
2024-01-17 21:13:38,51.54968,-1.23722,16749,567
2024-01-17 21:14:07,51.56005,-1.31660,17674,596
2024-01-17 21:14:39,51.57069,-1.39898,18924,561
2024-01-17 21:15:17,51.58337,-1.49834,20026,569
2024-01-17 21:15:37,51.59001,-1.55063,20600,569
2024-01-17 21:16:07,51.60013,-1.63088,21424,582
2024-01-17 21:16:37,51.61023,-1.71066,22126,579
2024-01-17 21:17:07,51.62082,-1.79404,22851,605
2024-01-17 21:17:37,51.63089,-1.87480,23524,586
2024-01-17 21:17:55,51.63742,-1.92749,23950,637
2024-01-17 21:18:27,51.64799,-2.01324,24626,583
2024-01-17 21:18:53,51.65725,-2.08817,25226,627
2024-01-17 21:19:19,51.66647,-2.16270,25899,624
2024-01-17 21:19:49,51.67982,-2.24774,26526,620
2024-01-17 21:20:34,51.70511,-2.37335,27349,615
2024-01-17 21:21:05,51.72293,-2.46124,27999,625
2024-01-17 21:21:21,51.73174,-2.50444,28301,595
2024-01-17 21:21:38,51.74207,-2.55516,28652,658
2024-01-17 21:22:08,51.75897,-2.63969,29249,621
2024-01-17 21:22:32,51.77265,-2.70798,29751,627
2024-01-17 21:23:02,51.78996,-2.79513,30249,640
2024-01-17 21:23:32,51.80761,-2.88422,30751,654
2024-01-17 21:24:02,51.82414,-2.96768,31250,613
2024-01-17 21:24:32,51.84160,-3.05580,32100,647
2024-01-17 21:25:02,51.85844,-3.14261,32776,637
2024-01-17 21:25:32,51.87507,-3.22784,33451,625
2024-01-17 21:26:02,51.89276,-3.31947,34075,672
2024-01-17 21:26:32,51.90975,-3.40710,34301,643
2024-01-17 21:27:02,51.92642,-3.49350,34800,634
2024-01-17 21:27:24,51.93878,-3.55766,35200,642
2024-01-17 21:27:54,51.95595,-3.64700,35525,655
2024-01-17 21:28:24,51.97311,-3.73857,35974,671
2024-01-17 21:28:49,51.98676,-3.81142,36401,640
2024-01-17 21:29:19,52.00305,-3.89771,36824,632
2024-01-17 21:30:03,52.02795,-4.03107,37100,666
2024-01-17 21:30:33,52.04480,-4.12094,37349,658
2024-01-17 21:31:03,52.06119,-4.20944,37625,648
